Model,permno,evtdate,cret,car,bhar,nrets,nrets_est
Market-Adjusted Model,12558,2022-03-16,0.0852757205,0.0220012409,0.0217601281,21,100
Market-Adjusted Model,12559,2022-03-16,-0.005886211,-0.069410655,-0.069401803,21,100
Market-Adjusted Model,12564,2022-03-16,0.0062440337,-0.056059851,-0.057271559,21,100
Market-Adjusted Model,12565,2022-03-16,-0.005884927,-0.068941262,-0.06940052,21,100
Market-Adjusted Model,12566,2022-03-16,0.0512552067,-0.008255436,-0.012260386,21,100
Market-Adjusted Model,12569,2022-03-16,0.2947657436,0.2206873047,0.2312501512,21,100
Market-Adjusted Model,12570,2022-03-16,-0.075183015,-0.135327514,-0.138698607,21,100
Market-Adjusted Model,12573,2022-03-16,-0.3479162,-0.436920888,-0.411431792,21,100
Market-Adjusted Model,12577,2022-03-16,0.0299727237,-0.011650396,-0.033542869,21,100
Market-Adjusted Model,12578,2022-03-16,0.0332718355,-0.028607323,-0.030243757,21,100
Market-Adjusted Model,12579,2022-03-16,0.3370474282,0.299268066,0.2735318358,21,100
Market-Adjusted Model,12582,2022-03-16,0.0210293903,-0.039758778,-0.042486202,21,100
Market-Adjusted Model,12583,2022-03-16,0.1182207826,0.0511591064,0.0547051902,21,100
Market-Adjusted Model,12584,2022-03-16,0.0420847915,-0.022047897,-0.021430801,21,100
Market-Adjusted Model,12591,2022-03-16,0.0102563957,-0.041168843,-0.053259197,21,100
Market-Adjusted Model,12592,2022-03-16,-0.092431448,-0.137339663,-0.15594704,21,100
Market-Adjusted Model,12593,2022-03-16,0.0806501515,0.0197071445,0.0171345591,21,100
Market-Adjusted Model,12615,2022-03-16,0.3767123207,0.2646153086,0.3131967283,21,100
Market-Adjusted Model,12621,2022-03-16,0.0876641513,0.0239066062,0.0241485589,21,100
Market-Adjusted Model,12622,2022-03-16,0.0121862797,-0.049271433,-0.051329313,21,100
Market-Adjusted Model,12623,2022-03-16,-0.004065578,-0.063547252,-0.06758117,21,100
Market-Adjusted Model,12625,2022-03-16,0.0588401928,-0.006397458,-0.0046754,21,100
Market-Adjusted Model,12628,2022-03-16,-0.064004095,-0.100913917,-0.127519688,21,100
Market-Adjusted Model,12629,2022-03-16,-0.061564089,-0.113999132,-0.125079681,21,100
Market-Adjusted Model,12631,2022-03-16,0.0040748281,-0.059860857,-0.059440764,21,100
Market-Adjusted Model,12633,2022-03-16,0.0022209316,-0.061278014,-0.061294661,21,100
Market-Adjusted Model,12640,2022-03-16,-0.051094927,-0.111861169,-0.11461052,21,100
Market-Adjusted Model,12641,2022-03-16,0.1416821485,0.0813802125,0.078166556,21,100
Market-Adjusted Model,12644,2022-03-16,0.3484141049,0.2583272253,0.2848985124,21,100
Market-Adjusted Model,12646,2022-03-16,0.0386169226,-0.023780764,-0.02489867,21,100
Market-Adjusted Model,12647,2022-03-16,0.0601477544,0.0000720216,-0.003367838,21,100
Market-Adjusted Model,12648,2022-03-16,0.1279754635,0.0604636209,0.0644598711,21,100
Market-Adjusted Model,12649,2022-03-16,0.1386519654,0.070593734,0.075136373,21,100
Market-Adjusted Model,12651,2022-03-16,-0.040101574,-0.09405822,-0.103617167,21,100
Market-Adjusted Model,12652,2022-03-16,0.0243546658,-0.038499555,-0.039160927,21,100
